R,Revista de Psicolog a,48,0.2,12549247,2023,2
R,Revista de Psicolog a,40,0.2,12549247,2023,1
R,Revista de Psicolog a,45,0.2,12549247,2022,1
R,Historica,46,0.25,2223375,2023,2
R,Historica,48,0.25,2223375,2023,1
R,Historica,40,0.25,2223375,2022,5
R,Historica,45,0.25,2223375,2022,4
R,Historica,48,0.25,2223375,2022,3
R,Historica,50,0.25,2223375,2022,1
R,Historica,52,0.25,2223375,2019,3
E,ENCICLOPEDIA VIDA SALVAJE DEL MUNDO,480,2,17974,2020
E,ATLAS ILUSTRADO - MATEMATICAS E INFORMATICA,252,1.5,46903,2022
N,Rimas y leyendas,104,0.4,Gustavo Adolfo Becquer
N,La tabla de Flandes,105,0.4,Arturo Perez-Reverte
N,Dr. Jekyll y Mr. Hyde,200,0.5,Robert Louis Stevenson
N,Las aventuras de Tom Sawye,200,0.5,Mark Twain
N,Harry Potter y las reliquias de la muerte (Harry Potter 7),100,0.4,J. K. Rowling
N,La caida de los gigantes,104,0.4,Ken Follett
N,Dracula,102,0.4,Bram Stoker
N,El tango de la guardia vieja,102,0.4,Arturo Perez-Reverte
N,Ulises,100,0.5,James Joyce
N,Ensayo sobre la ceguera,88,0.4,Jose Saramago
N,El gato negro y otros cuentos,86,0.4,Edgar Allan Poe
N,El ruido y la furia,102,0.4,William Faulkner
N,El proceso,105,0.4,Franz Kafka
N,El club Dumas,98,0.7,Arturo Perez-Reverte
N,Progreso del peregrino,98,0.4,John Bunyan
N,El italiano,98,0.4,Arturo Perez-Reverte
N,El invierno del mundo,88,0.4,Ken Follett
N,El reino de este mundo,102,0.4,Alejo Carpentier
N,Vidas intrepidas,100,0.4,Julio Albi de la Cuesta
N,Un asunto de honor,100,0.4,Arturo Perez-Reverte
N,Los renglones torcidos de Dios,104,0.4,Torcuato Luca de Tena
N,Jane Eyre,105,0.4,Charlotte Bront 
N,Mudlarking,90,0.4,Lara Maiklem
E,ANIMALES: UNA EXPLORACION DEL MUNDO ZOOLOGICO,350,2.5,22685,2018
N,Harry Potter y la piedra filosofal (Harry Potter 1),87,0.4,J. K. Rowling
N,Palmeras en la nieve,98,0.4,Luz Gabas
N,El conde de Montecristo,120,0.7,Alexandre Dumas
N,Alicia en el pais de las maravillas,100,0.4,Lewis Carroll
N,El extranio caso del Dr. Jekyll y Mr. Hyde,100,0.7,Robert Louis Stevenson
N,El medievo cristiano,100,0.4,Mario Merlino
N,Justine o los infortunios,100,0.4,Charles Dickens
N,Ricardo III,100,0.7,William Shakespeare
N,Pasaje a la India,100,0.4,E. M. Forster
N,Los miserables,100,0.4,Victor Hugo
