CÃ³digo   TÃ­tulo                                           Autor                                             StockCant. no atendida
EZP0333   La Reina del Sur                                  Arturo Perez-Reverte                                60   0
MBB0685   El capitan Alatriste                              Arturo Perez-Reverte                                25   0
CST1133   Inferno                                           Dan Brown                                           10   0
RNG2321   El Aleph                                          Jorge Luis Borges                                   36   0
RSK1164   El amor en los tiempos del colera                 Gabriel Garcia Marquez                              24   0
WYS2674   Secuestrado                                       Robert Louis Stevenson                              54   0
CRR5443   Un mundo feliz                                    Aldous Huxley                                       29   0
JEN0751   Ana Karenina                                      Leon Tolstoi                                        51   0
IGT8523   Una columna de fuego                              Ken Follett                                         20   0
FYV9055   Macbeth                                           William Shakespeare                                 42   0
LGB2311   Decameron                                         Giovanni Boccaccio                                   7   0
MEH2993   Hijos de un tiempo perdido                        Jose Maria Bermúdez de Castro                        5   0
CJN4376   Harry Potter y la camara secreta (Harry Potter 2) J. K. Rowling                                        7   0
ION3794   Crepúsculo                                        Stephenie Meyer                                     46   0
HDA2333   Lituma en los Andes                               Mario Vargas Llosa                                  51   0
CKR6798   El lobo estepario                                 Hermann Hesse                                       49   0
GDA4236   Gente normal                                      Sally Rooney                                        62   0
BAP2859   El túnel                                          Ernesto Sabato                                       5   0
EHX6253   La isla de las tormentas                          Ken Follett                                          7   0
OUU5470   La carta esferica                                 Arturo Perez-Reverte                                25   0
PQB0775   El diablo de la botella y otros cuentos           Robert Louis Stevenson                              29   0
DEF7625   Las uvas de la ira                                John SteinbecK                                      19   0
UDS2730   Los Nibelungos                                    Anonimo                                             23   0
DTH6788   Los perros duros no bailan                        Arturo Perez-Reverte                                20   0
KLV1872   Orgullo y prejuicio                               Jane Austen                                         53   0
BUT4998   Lolita                                            Vladimir Nabokov                                    28   0
XBC5847   Tiempos recios                                    Mario Vargas Llosa                                  33   0
AZL1098   El extranjero                                     Albert Camus                                        65   0
BZY0235   Fausto                                            Johann Wolfgang Von Goethe                          22   0
QQQ4712   Nuestra Seniora de Paris                          Victor Hugo                                         58   0
BTX3816   El jugador                                        Fiodor Dostoyevski                                  54   0
MLC7198   Los rios profundos                                Jose Maria Arguedas                                  7   0
JZU0977   El alquimista                                     Paulo Coelho                                        62   0
AGQ7769   La Flecha Negra                                   Robert Louis Stevenson                              50   0
BXE0974   Los viajes de Gulliver                            Jonathan Swift                                      63   0
UFK9792   El psicoanalista                                  John Katzenbach                                     39   0
XRL3393   Le dedico mi silencio                             Mario Vargas Llosa                                  45   0
GUN8655   Angeles y demoniosi                               Dan Brown                                           52   0
NGQ6935   La casa de los espiritus                          Isabel Allende                                      58   0
PWB4941   La montania magica                                Thomas Mann                                         63   0
NEW1762   Territorio comanche                               Arturo Perez-Reverte                                21   0
QHZ8547   Adios a las armas                                 Hernest Hemingway                                   50   0
PCS8992   Y no quedo ninguno                                Agatha Christie                                     31   0
VFI8064   A sangre fria                                     Truman Capote                                       25   0
XTM9385   El mundo                                          Simon Sebag Montefiore                              64   0
VDL9379   Los juegos del hambre                             Suzanne Collins                                     34   0
IFL0150   Romeo y Julieta                                   William Shakespeare                                 63   0
JZQ8143   Suenios de robot                                  Isaac Asimov                                        31   0
SXT1015   Mientras agonizo                                  William Faulkner                                     1   0
KGO1734   Una historia del mundo                            Andrew Marr                                         15   0
SMI7078   Los cachorros                                     Mario Vargas Llosa                                  27   0
RAO4129   Stalingrado                                       Jonathan Trigg                                      18   0
VYG3594   Los demonios                                      Fiodor Dostoyevski                                   3   0
HLC2748   El senior de los anillos (Trilogia)               J.R.R.Tolkien                                       30   0
GJM4671   Origenes                                          Lewis Dartnell                                      36   0
VYK6352   Armas germenes y acero                            Jared Diamond                                       34   0
VSG3432   Bajo bandera negra                                David Cordingly                                      9   0
OQK1590   Cometas en el cielo                               Khaled Hosseini                                      4   0
JXC1015   Robinson Crusoe                                   Daniel Defoe                                        58   0
TAB4639   El color que cayo del cielo                       H. P. Lovecraft                                     43   0
YXF2137   En agosto nos vemos                               Gabriel Garcia Marquez                              35   0
SIR3963   Memorias de una geisha                            Arthur Golden                                       34   0
ALH8812   Guerra y Paz                                      Leon Tolstoi                                        50   0
UCA0857   SPQR: una historia de la antigua Roma             Mary Beard                                          10   0
KLO8691   Catedral                                          Raymond Carver                                      26   0
HPM0950   Fahrenheit 451                                    Ray Bradbury                                        43   0
JOF6762   Ojos azules                                       Arturo Perez-Reverte                                43   0
DEK2757   En llamas                                         Suzanne Collins                                      2   0
RRE8138   Trilogia de la Fundacion                          Isaac Asimov                                        44   0
JKE9650   La metamorfosis                                   Franz Kafka                                         44   0
BZX4462   Culpa mia                                         Mercedes Ron                                        37   0
NFP3266   Sabotaje                                          Arturo Perez-Reverte                                 4   0
