CÃ³digo   TÃ­tulo                                           Autor                                             StockCant. no atendida
LJE6687   El codigo Da Vinci                                Dan Brown                                           33   0
PPI9259   Revolucion                                        Arturo Perez-Reverte                                53   0
ZYF6683   Harry Potter y la Orden del Fenix ( Harry Potter 5)J. K. Rowling                                       25   0
GKG6581   Hombres buenos                                    Arturo Perez-Reverte                                43   0
WWT1581   La piel del tambor                                Arturo Perez-Reverte                                53   0
CMP1150   Don Quijote de la Mancha                          Miguel de Cervantes                                 24   0
CPE5718   Paris era una fiesta                              Hernest Hemingway                                   48   0
SHF2360   Un dia de colera                                  Arturo Perez-Reverte                                10   0
ETV5056   Moby Dick                                         Herman Melville                                     31   0
USE5598   Fortaleza digitali                                Dan Brown                                           36   0
TVR7016   El corazon de las tinieblas                       Joseph Conrad                                       30   0
BSX2922   Una historia de Espania                           Arturo Perez-Reverte                                 0   0
GXB5722   Cumbres borrascosas                               Emily Brontë                                        45   0
ZLE2920   Historia de la Edad Media                         Indro Montanelli                                    26   0
MNL3677   El Hobbit                                         J.R.R. Tolkien                                      38   0
ZAL2738   1984                                              George Orwell                                       32   0
PQZ1316   La Eneida                                         Virgilio                                            42   0
DDU0764   Dioses tumbas y sabios                            C. W. Ceram                                          6   0
EEJ4830   El Principito                                     Antoine de Saint-Exupery                            49   0
DPZ8059   El hombre que pudo reinar                         Rudyard Kipling                                     20   0
JJV7549   Los hombres que no amaban a las mujeres           Stieg Larsson                                       19   0
JXK3142   En el camino                                      Jack Kerouac                                        43   0
USM9579   El perfume                                        Patrick Suskind                                     20   0
JGG5049   El eterno marido                                  Fiodor Dostoyevski                                  51   0
MIK5358   La transformacion del mundo                       Jürgen Osterhammel                                  30   0
BDK4183   La isla del tesoro                                Robert Louis Stevenson                              28   0
ECT0289   Juego de tronos                                   George R.R.Martin                                    8   0
DVR5984   Mil soles esplendidos                             Khaled Hosseini                                     21   0
EBE0042   Capitanes intrepidos                              Rudyard Kipling                                     39   0
CXW5879   Los barcos se pierden en tierra                   Arturo Perez-Reverte                                49   0
GOG7446   El guardian entre el centeno                      J. D. Salinger                                      55   0
QYH7021   Historia del siglo XX: 1914-1991                  Eric Hobsbawm                                        1   0
KCI5219   El Maestro y Margarita                            Mijail Bulgakov                                     21   0
FMX8255   Las aventuras de Huckleberry Finn                 Mark Twain                                          52   0
ZQY9966   El suenio del tio                                 Fiodor Dostoyevski                                  27   0
DXP8640   El retrato de Dorian Gray                         Oscar Wilde                                         62   0
LRV5687   La guerra del fin del mundo                       Mario Vargas Llosa                                  62   0
EBT7258   Linea de fuego                                    Arturo Perez-Reverte                                 2   0
ELC8965   Las aventuras de Rocambole                        Ponson Du Terrail                                   37   0
ULM8751   La sumisa                                         Fiodor Dostoyevski                                   7   0
PGK5617   El Rey Lear                                       William Shakespeare                                 36   0
QFG6515   El libro de la selva                              Rudyard Kipling                                     60   0
QVX9089   Madame Bovary                                     Gustave Flaubert                                    27   0
QMI4747   La isla de los amores infinitos                   Daina Chaviano                                      24   0
SMW0186   La sombra del viento                              Carlos Ruiz Zafon                                   62   0
HSE3213   Por quien doblan las campanas                     Hernest Hemingway                                   18   0
RZX8790   El senior de las moscas                           William Golding                                     18   0
XMT1768   Los diarios de Adan y Eva                         Mark Twain                                          21   0
HGN9910   La ciudad y los perros                            Mario Vargas Llosa                                  59   0
JNC0786   Mi isla                                           Elisabet Benavent                                   45   0
HHR5161   El francotirador paciente                         Arturo Perez-Reverte                                21   0
FNM6936   Divina comedia                                    Dante Alighieri                                     48   0
HVZ1228   El húsar                                          Arturo Perez-Reverte                                42   0
MKB4184   Napoleon                                          Alejandro Dumas                                     65   0
KBF4088   Harry Potter y el prisionero de Azkaban (Harry Potter 3)J.K. Rowling                                        23   0
ZQD4253   Harry Potter y el misterio del principe ( Harry Potter 6)J. K. Rowling                                       62   0
PHL4155   El idiota                                         Fiodor Dostoyevski                                  19   0
EYV0597   Cuentos de la selva                               Horacio Quiroga                                      2   0
AKU9740   Conversacion en La Catedral                       Mario Vargas Llosa                                  29   0
ACM9578   Amadis de gaula                                   Garci Rodriguez Montalvo                            33   0
OCI8959   David Copperfield                                 Charles Dickens                                     62   0
EJE8138   Yawar fiesta                                      Jose Maria Arguedas                                 14   0
WHU1288   La hija italiana                                  Soraya Lane                                         13   0
ICU6090   La fiesta del chivo                               Mario Vargas Llosa                                  13   0
BUC5125   El faro de Stalingrado                            Iain MacGregor                                      25   0
BUY4915   La sombra del aguila                              Arturo Perez-Reverte                                21   0
USK1312   Un mundo sin fin                                  Ken Follett                                         50   0
VFO4193   La catedral del mar                               Ildefonso Falcones                                  20   0
OWO8918   Origen                                            Dan Brown                                           60   0
YZV6954   Corazon de las tinieblas                          Joseph Conrad                                       26   0
CLG5566   Pantaleon y las visitadoras                       Mario Vargas Llosa                                   0   0
IUI3314   El coronel no tiene quien le escriba              Gabriel Garcia Marquez                              30   0
EFD3949   La divina comedia                                 Dante Alighieri                                     26   0
FVV9246   Matar a un ruisenior                              Harper Lee                                          54   0
SPM4763   Eva                                               Arturo Perez-Reverte                                16   0
BHD6079   Zorba el griego                                   Nikos Kazantzakis                                    9   0
RYI5447   El corazon es un cazador solitario                Carson Mccullers                                    13   0
BUB3833   Otelo                                             William Shakespeare                                 11   0
EUO8195   El jardin del Eden                                Hernest Hemingway                                   11   0
KSX7995   El simbolo perdidoi                               Dan Brown                                            4   0
MTZ2227   Hamlet                                            William Shakespeare                                 42   0
JSM8271   La Odisea                                         Homero                                              50   0
KVL6246   La edad media - barbaros - cristianos y musulmanesUmberto Eco                                         17   0
QMJ4188   Emma                                              Jane Austen                                         20   0
QKH2262   Fiesta                                            Hernest Hemingway                                   20   0
HXB2949   El medico                                         Noah Gordon                                         32   0
OBH4691   Crimen y castigo                                  Fiodor Dostoyevski                                  61   0
IPE3429   Sidi                                              Arturo Perez-Reverte                                48   0
ILA4795   La ladrona de libros                              Markus ZusaK                                        38   0
EFQ0297   Trampa 22                                         Joseph Heller                                       31   0
BRG4234   La telarania de Carlota                           E. B. White                                         15   0
EZP0333   La Reina del Sur                                  Arturo Perez-Reverte                                58   0
MBB0685   El capitan Alatriste                              Arturo Perez-Reverte                                24   0
CST1133   Inferno                                           Dan Brown                                            7   0
RNG2321   El Aleph                                          Jorge Luis Borges                                   34   0
RSK1164   El amor en los tiempos del colera                 Gabriel Garcia Marquez                              20   0
WYS2674   Secuestrado                                       Robert Louis Stevenson                              54   0
CRR5443   Un mundo feliz                                    Aldous Huxley                                       26   0
JEN0751   Ana Karenina                                      Leon Tolstoi                                        49   0
IGT8523   Una columna de fuego                              Ken Follett                                         20   0
FYV9055   Macbeth                                           William Shakespeare                                 38   0
LGB2311   Decameron                                         Giovanni Boccaccio                                   7   0
MEH2993   Hijos de un tiempo perdido                        Jose Maria Bermúdez de Castro                        4   0
CJN4376   Harry Potter y la camara secreta (Harry Potter 2) J. K. Rowling                                        5   0
ION3794   Crepúsculo                                        Stephenie Meyer                                     46   0
HDA2333   Lituma en los Andes                               Mario Vargas Llosa                                  51   0
CKR6798   El lobo estepario                                 Hermann Hesse                                       47   0
GDA4236   Gente normal                                      Sally Rooney                                        61   0
BAP2859   El túnel                                          Ernesto Sabato                                       5   0
EHX6253   La isla de las tormentas                          Ken Follett                                          6   0
OUU5470   La carta esferica                                 Arturo Perez-Reverte                                25   0
PQB0775   El diablo de la botella y otros cuentos           Robert Louis Stevenson                              27   0
DEF7625   Las uvas de la ira                                John SteinbecK                                      19   0
UDS2730   Los Nibelungos                                    Anonimo                                             21   0
DTH6788   Los perros duros no bailan                        Arturo Perez-Reverte                                20   0
KLV1872   Orgullo y prejuicio                               Jane Austen                                         52   0
BUT4998   Lolita                                            Vladimir Nabokov                                    27   0
XBC5847   Tiempos recios                                    Mario Vargas Llosa                                  32   0
AZL1098   El extranjero                                     Albert Camus                                        65   0
BZY0235   Fausto                                            Johann Wolfgang Von Goethe                          15   0
QQQ4712   Nuestra Seniora de Paris                          Victor Hugo                                         57   0
BTX3816   El jugador                                        Fiodor Dostoyevski                                  50   0
MLC7198   Los rios profundos                                Jose Maria Arguedas                                  5   0
JZU0977   El alquimista                                     Paulo Coelho                                        61   0
AGQ7769   La Flecha Negra                                   Robert Louis Stevenson                              49   0
BXE0974   Los viajes de Gulliver                            Jonathan Swift                                      60   0
UFK9792   El psicoanalista                                  John Katzenbach                                     39   0
XRL3393   Le dedico mi silencio                             Mario Vargas Llosa                                  45   0
GUN8655   Angeles y demoniosi                               Dan Brown                                           51   0
NGQ6935   La casa de los espiritus                          Isabel Allende                                      57   0
PWB4941   La montania magica                                Thomas Mann                                         63   0
NEW1762   Territorio comanche                               Arturo Perez-Reverte                                18   0
QHZ8547   Adios a las armas                                 Hernest Hemingway                                   49   0
PCS8992   Y no quedo ninguno                                Agatha Christie                                     29   0
VFI8064   A sangre fria                                     Truman Capote                                       21   0
XTM9385   El mundo                                          Simon Sebag Montefiore                              62   0
VDL9379   Los juegos del hambre                             Suzanne Collins                                     31   0
IFL0150   Romeo y Julieta                                   William Shakespeare                                 60   0
JZQ8143   Suenios de robot                                  Isaac Asimov                                        28   0
SXT1015   Mientras agonizo                                  William Faulkner                                     1   0
KGO1734   Una historia del mundo                            Andrew Marr                                          8   0
SMI7078   Los cachorros                                     Mario Vargas Llosa                                  25   0
RAO4129   Stalingrado                                       Jonathan Trigg                                      17   0
VYG3594   Los demonios                                      Fiodor Dostoyevski                                   1   0
HLC2748   El senior de los anillos (Trilogia)               J.R.R.Tolkien                                       30   0
GJM4671   Origenes                                          Lewis Dartnell                                      36   0
VYK6352   Armas germenes y acero                            Jared Diamond                                       34   0
VSG3432   Bajo bandera negra                                David Cordingly                                      4   0
OQK1590   Cometas en el cielo                               Khaled Hosseini                                      3   0
JXC1015   Robinson Crusoe                                   Daniel Defoe                                        58   0
TAB4639   El color que cayo del cielo                       H. P. Lovecraft                                     41   0
YXF2137   En agosto nos vemos                               Gabriel Garcia Marquez                              35   0
SIR3963   Memorias de una geisha                            Arthur Golden                                       34   0
ALH8812   Guerra y Paz                                      Leon Tolstoi                                        48   0
UCA0857   SPQR: una historia de la antigua Roma             Mary Beard                                           9   0
KLO8691   Catedral                                          Raymond Carver                                      25   0
HPM0950   Fahrenheit 451                                    Ray Bradbury                                        41   0
JOF6762   Ojos azules                                       Arturo Perez-Reverte                                43   0
DEK2757   En llamas                                         Suzanne Collins                                      0   3
RRE8138   Trilogia de la Fundacion                          Isaac Asimov                                        44   0
JKE9650   La metamorfosis                                   Franz Kafka                                         44   0
BZX4462   Culpa mia                                         Mercedes Ron                                        37   0
NFP3266   Sabotaje                                          Arturo Perez-Reverte                                 1   0
